feature,univariate_auc,coefficient,lgbm_importance,model
acousticness,0.4935290458060933,-0.0181222289775875,32.0,
artist_mean_acousticness,0.4997003137988788,-0.0745611563162826,227.0,
artist_mean_danceability,0.5059120478010934,-0.0353647438948331,218.0,
artist_mean_duration_ms,0.4965628772563886,0.069655853657405,261.0,
artist_mean_energy,0.504220762040533,-0.1313367115183043,183.0,
artist_mean_instrumentalness,0.4891210843587582,0.0272786186208655,208.0,
artist_mean_liveness,0.5060094231507675,0.0051964577912699,229.0,
artist_mean_loudness,0.5072979226125466,0.0727955942849353,191.0,
artist_mean_speechiness,0.4999134790796387,0.0736977852785574,241.0,
artist_mean_tempo,0.5072714620801996,0.0350597308070383,210.0,
artist_mean_valence,0.4812477234270502,0.1449079214832879,211.0,
danceability,0.5183602487249878,0.2441561873372441,33.0,
danceability_z_genre,0.515479265240394,-0.2161673124482074,37.0,
duration_ms,0.5089335570894225,-0.0399530463913513,47.0,
energy,0.5002620522955448,-0.367341939019457,16.0,
energy_z_genre,0.5037235934444811,0.3129797777080796,35.0,
genre_A Capella,0.499966623109756,0.0160496476718209,2.0,
genre_Alternative,0.498259444787273,0.1267939591924453,8.0,
genre_Anime,0.4982764551294961,0.0908305729230512,20.0,
genre_Blues,0.4994088714120485,0.0399607130097583,12.0,
genre_Children's Music,0.5084785097626636,-1.524974569935815,52.0,
genre_Children’s Music,0.4997663440491854,0.0936415259684408,1.0,
genre_Classical,0.4992382437995841,0.0495984491388047,38.0,
genre_Comedy,0.4963072791453801,-0.1080740777678034,3.0,
genre_Country,0.5006817293325804,0.0698617740662402,2.0,
genre_Dance,0.5014126380452026,0.0698346433125787,5.0,
genre_Electronic,0.498466922234852,0.1080577723017109,10.0,
genre_Folk,0.4993357727148476,0.0766310677926654,14.0,
genre_Hip-Hop,0.5024603658583224,0.0404544835536093,2.0,
genre_Indie,0.5002370447299292,0.0767690252550453,12.0,
genre_Jazz,0.5008035024152885,-0.0048003253478844,9.0,
genre_Movie,0.502592485422624,0.0398665997118583,37.0,
genre_Opera,0.499663797673603,0.0743083741506711,5.0,
genre_Pop,0.5019249121795308,0.033706412283278,1.0,
genre_R&B,0.5001484742995848,0.0240464838305716,8.0,
genre_Rap,0.5004472140051014,0.0394919347462539,4.0,
genre_Reggae,0.5009955627636355,-0.0524808480225005,11.0,
genre_Reggaeton,0.5001208059148126,-0.0065771367240821,8.0,
genre_Rock,0.4997639401570726,0.085974842841808,4.0,
genre_Ska,0.4980322061061895,0.0725512269074501,20.0,
genre_Soul,0.5014898771069517,0.0023660481856879,3.0,
genre_Soundtrack,0.5004609492658098,0.1050369996723419,3.0,
genre_World,0.4979560671056346,0.0881411124973558,7.0,
instrumentalness,0.5115307823730305,0.0178351176844998,71.0,
key_cos,0.5013454220913539,0.0139033278975224,5.0,
key_sin,0.4986952314452855,-0.0095672382947187,4.0,
liveness,0.5153219387705289,0.0733869494508687,31.0,
loudness,0.5175810451110555,-0.0468975151389524,31.0,
loudness_z_genre,0.5227749862539602,-0.0711442553733164,55.0,
mode,0.5090866560757992,0.0335019039183488,8.0,
speechiness,0.509090473066654,0.1187318779738637,43.0,
tempo,0.506805266482279,-0.2138704263206422,12.0,
tempo_z_genre,0.5085134725129379,0.2229893951134519,9.0,
time_signature_num,0.5066638015659001,-0.0245066531293946,4.0,
valence,0.4916527504249736,0.230825331561897,18.0,
valence_z_genre,0.5135183005855404,-0.2174618072228575,29.0,
acousticness,0.4935290458060933,-0.0181074100497199,,logistic
artist_mean_acousticness,0.4997003137988788,-0.074608180162745,,logistic
artist_mean_danceability,0.5059120478010934,-0.0354002548347716,,logistic
artist_mean_duration_ms,0.4965628772563886,0.0696230457645861,,logistic
artist_mean_energy,0.504220762040533,-0.1315033407959051,,logistic
artist_mean_instrumentalness,0.4891210843587582,0.0272967334133396,,logistic
artist_mean_liveness,0.5060094231507675,0.0051998189801474,,logistic
artist_mean_loudness,0.5072979226125466,0.0729488513277309,,logistic
artist_mean_speechiness,0.4999134790796387,0.073807258599159,,logistic
artist_mean_tempo,0.5072714620801996,0.0350833134671328,,logistic
artist_mean_valence,0.4812477234270502,0.1449357686215262,,logistic
danceability,0.5183602487249878,0.2442666873030816,,logistic
danceability_z_genre,0.515479265240394,-0.2162568502994775,,logistic
duration_ms,0.5089335570894225,-0.0399114281875234,,logistic
energy,0.5002620522955448,-0.3674823716949176,,logistic
energy_z_genre,0.5037235934444811,0.313080044151651,,logistic
genre_A Capella,0.499966623109756,0.0160406469206883,,logistic
genre_Alternative,0.498259444787273,0.126832305900491,,logistic
genre_Anime,0.4982764551294961,0.0908981831530537,,logistic
genre_Blues,0.4994088714120485,0.0400049727717897,,logistic
genre_Children's Music,0.5084785097626636,-1.5248669467730998,,logistic
genre_Children’s Music,0.4997663440491854,0.0936766408216873,,logistic
genre_Classical,0.4992382437995841,0.0495012540790921,,logistic
genre_Comedy,0.4963072791453801,-0.1082056096171554,,logistic
genre_Country,0.5006817293325804,0.0699031985655457,,logistic
genre_Dance,0.5014126380452026,0.0698612905238616,,logistic
genre_Electronic,0.498466922234852,0.1081191166537945,,logistic
genre_Folk,0.4993357727148476,0.0766191135424636,,logistic
genre_Hip-Hop,0.5024603658583224,0.0404500190723001,,logistic
genre_Indie,0.5002370447299292,0.0767642930126185,,logistic
genre_Jazz,0.5008035024152885,-0.0048308823975842,,logistic
genre_Movie,0.502592485422624,0.0398243538858684,,logistic
genre_Opera,0.499663797673603,0.0741688127902329,,logistic
genre_Pop,0.5019249121795308,0.0337137614751149,,logistic
genre_R&B,0.5001484742995848,0.0240135396498992,,logistic
genre_Rap,0.5004472140051014,0.039488997693855,,logistic
genre_Reggae,0.5009955627636355,-0.0524557943554604,,logistic
genre_Reggaeton,0.5001208059148126,-0.0065286459453032,,logistic
genre_Rock,0.4997639401570726,0.0860260746057407,,logistic
genre_Ska,0.4980322061061895,0.0726760552381014,,logistic
genre_Soul,0.5014898771069517,0.0023418125615314,,logistic
genre_Soundtrack,0.5004609492658098,0.1049241713770327,,logistic
genre_World,0.4979560671056346,0.0881346277542961,,logistic
instrumentalness,0.5115307823730305,0.0177934266522333,,logistic
